,AUDUSD,AUDNZD,AUDCAD,AUDCHF,AUS Interest Rate,US Interest Rate,NZ Interest Rate,CAN Interest Rate,CH Interest Rate,AUS Net Exports
2019-05-31,0.6916,1.062,0.9366,0.6955,1.5,2.38,1.45,2.0,-0.95,6388.0
2019-04-30,0.7039,1.0574,0.9482,0.7178,1.5,2.39,1.51,2.0,-0.9,6388.0
2019-03-31,0.7121,1.0428,0.9507,0.7090000000000001,1.5,2.42,1.7,2.0,-0.85,3637.0
2019-02-28,0.7146,1.0435,0.94,0.7137,1.5,2.41,1.73,2.0,-1.51,3637.0
2019-01-31,0.7268,1.0514,0.9544,0.7216,1.5,2.4,1.73,2.0,-0.97,3637.0
2018-12-31,0.7058,1.0519,0.9622,0.6956,1.5,2.4,1.67,2.0,-0.9,1598.0
2018-11-30,0.7316,1.0659,0.9723,0.7293,1.5,2.27,1.72,2.0,-0.95,1598.0
2018-10-31,0.7085,1.0827,0.9302,0.7122,1.5,2.2,1.72,2.0,-0.9,1598.0
2018-09-30,0.72,1.0922,0.9229,0.7091,1.5,2.19,1.68,2.0,-0.9,2446.0
2018-08-31,0.726,1.0919,0.9446,0.7026,1.5,1.95,1.68,1.75,-0.9,2446.0
2018-07-31,0.7431,1.0885,0.9699,0.7339,1.5,1.91,1.71,1.75,-0.9,2446.0
2018-06-30,0.7382,1.0899,0.9725,0.7327,1.5,1.91,1.67,1.75,-0.95,691.0
2018-05-31,0.7564,1.0832,0.9733,0.7477,1.5,1.82,1.69,1.5,-0.9,691.0
2018-04-30,0.757,1.0692,0.972,0.7475,1.5,1.7,1.73,1.5,-0.95,691.0
2018-03-31,0.7685,1.0623,0.9905,0.7342,1.5,1.69,1.71,1.5,-0.98,704.0
2018-02-28,0.7792,1.0779,0.9952,0.7325,1.5,1.51,1.67,1.5,-1.0,704.0
2018-01-31,0.8073,1.0946,0.9946,0.7539,1.5,1.42,1.67,1.5,-0.95,704.0
2017-12-31,0.7837,1.1016,0.9824,0.7631,1.5,1.41,1.66,1.5,-1.0,-1894.0
2017-11-30,0.7585,1.1084,0.9758,0.7468,1.5,1.3,1.67,1.25,-1.0,-1894.0
2017-10-31,0.7673,1.1201,0.9854,0.7646,1.5,1.16,1.64,1.25,-1.0,-1894.0
2017-09-30,0.7801,1.0888,0.9777,0.7626,1.5,1.15,1.61,1.25,-0.97,662.0
2017-08-31,0.7898,1.1014,0.9989,0.7613,1.5,1.15,1.64,1.25,-0.9,662.0
2017-07-31,0.7987,1.0638,0.9953,0.7731,1.5,1.16,1.65,1.0,-1.15,662.0
2017-06-30,0.7692,1.05,0.9990000000000001,0.7364,1.5,1.15,1.63,1.0,-0.9,2410.0
2017-05-31,0.745,1.0517,1.0022,0.727,1.5,1.04,1.71,0.75,-1.18,2410.0
2017-04-30,0.7486,1.0917,1.0236,0.7458,1.5,0.91,1.67,0.75,-0.95,2410.0
2017-03-31,0.7644,1.095,1.0199,0.7654,1.5,0.9,1.62,0.75,-0.9,271.0
2017-02-28,0.7688,1.069,1.013,0.775,1.5,0.79,1.66,0.75,-0.95,271.0
2017-01-31,0.7567,1.0379,0.9908,0.7531,1.5,0.66,1.71,0.75,-0.95,271.0
2016-12-31,0.7234,1.0373,0.9698,0.7389,1.5,0.65,1.66,0.75,-0.9,4641.0
2016-11-30,0.7474,1.0463,1.0047,0.7572,1.5,0.54,1.68,0.75,-0.9,4641.0
2016-10-31,0.7613,1.0642,1.0204,0.7519,1.5,0.41,1.74,0.75,-0.9,4641.0
2016-09-30,0.763,1.0484,1.0034,0.7371,1.5,0.4,1.88,0.75,-0.85,3529.0
2016-08-31,0.7514,1.0377,0.9838,0.7392,1.52,0.4,1.92,0.75,-0.95,3529.0
2016-07-31,0.7547,1.0473,0.9896,0.7299,1.75,0.4,2.06,0.75,-3.65,3529.0
2016-06-30,0.7426,1.0489,0.9632,0.7283,1.75,0.39,2.11,0.75,-1.0,3411.0
2016-05-31,0.7242,1.0769,0.9441,0.7188,1.77,0.38,2.16,0.75,-1.75,3411.0
2016-04-30,0.7607,1.088,0.9545,0.7296,2.0,0.37,2.16,0.75,-1.25,3411.0
2016-03-31,0.7657,1.11,0.9951,0.7394,2.0,0.37,2.17,0.75,-1.0,4397.0
2016-02-29,0.7140000000000001,1.0838,0.9658,0.7116,2.0,0.36,2.21,0.75,-1.1,4397.0
2016-01-31,0.7072,1.0912,0.9903,0.7226,2.0,0.38,2.37,0.75,-0.85,4397.0
2015-12-31,0.7306,1.0667,1.0137,0.722,2.0,0.34,2.39,0.75,-1.0,222.0
2015-11-30,0.7189,1.0982,0.9620000000000001,0.741,2.0,0.24,2.55,0.75,-1.0,222.0
2015-10-31,0.7140000000000001,1.0542,0.9336,0.7049,2.0,0.12,2.65,0.75,-1.1,222.0
2015-09-30,0.701,1.0998,0.9401,0.6818,2.0,0.12,2.68,0.75,-0.9,-376.0
2015-08-31,0.7149,1.1127,0.946,0.6861,2.0,0.14,2.76,0.75,-1.0,-376.0
2015-07-31,0.7294,1.1077,0.9484,0.7053,2.0,0.14,2.9,0.75,-1.25,-376.0
2015-06-30,0.768,1.1294,0.9517,0.7145,2.0,0.13,3.07,0.75,-1.0,-4977.0
2015-05-31,0.765,1.0767,0.9531,0.7215,2.035,0.13,3.25,1.0,-1.15,-4977.0
2015-04-30,0.7981,1.0503,0.9604,0.7509,2.25,0.12,3.41,1.0,-1.25,-4977.0
2015-03-31,0.7634,1.0195,0.9694,0.74,2.25,0.12,3.44,1.0,-1.0,-1750.0
2015-02-28,0.7768,1.0322,0.9715,0.7419,2.275,0.11,3.42,1.0,-1.5,-1750.0
2015-01-31,0.7769,1.0697,0.9892,0.7188,2.5,0.11,3.4,1.0,-1.0,-1750.0
2014-12-31,0.8202,1.0462,0.9518,0.8112,2.5,0.11,3.42,1.0,-1.75,-2925.0
2014-11-30,0.8453,1.0803,0.9659,0.8168,2.5,0.12,3.4,1.25,-2.0,-2925.0
2014-10-31,0.8805,1.1232,0.9866,0.8435,2.5,0.09,3.42,1.25,-0.1,-2925.0
2014-09-30,0.8752,1.1216,0.9758,0.8325,2.5,0.09,3.42,1.25,-0.1,-5797.0
2014-08-31,0.934,1.1151,1.0152,0.8583,2.5,0.09,3.46,1.25,-0.1,-5797.0
2014-07-31,0.9324,1.0957,1.0167,0.847,2.5,0.09,3.45,1.25,-0.1,-5797.0
2014-06-30,0.9420000000000001,1.0761,1.0057,0.8396,2.5,0.09,3.28,1.25,-0.15,-7222.0
2014-05-31,0.9259999999999999,1.0928,1.005,0.8292,2.5,0.1,3.13,1.25,-0.15,-7222.0
2014-04-30,0.9287,1.0847,1.018,0.8212,2.5,0.09,3.0,1.25,-0.16,-7222.0
2014-03-31,0.9221,1.0661,1.0201,0.8181,2.5,0.09,2.79,1.25,-0.15,-5218.0
2014-02-28,0.8947,1.0659,0.9956,0.7948,2.5,0.08,2.65,1.25,-0.15,-5218.0
2014-01-31,0.8763,1.0773,0.9793,0.7909,2.5,0.07,2.51,1.25,-0.15,-5218.0
2013-12-31,0.8948,1.0879,0.9524,0.7942,2.5,0.07,2.52,1.25,-0.12,-9603.0
2013-11-30,0.9151,1.1161,0.9719,0.8283,2.5,0.09,2.5,1.25,0.01,-9603.0
2013-10-31,0.9490000000000001,1.1497,0.9949,0.855,2.5,0.08,2.49,1.25,-0.08,-9603.0
2013-09-30,0.9309,1.1248,0.9596,0.8434,2.5,0.09,2.5,1.25,-0.15,-11294.0
2013-08-31,0.8969,1.1516,0.9440000000000001,0.8362,2.55,0.08,2.5,1.25,-0.05,-11294.0
2013-07-31,0.9037,1.1315,0.9312,0.8403,2.75,0.08,2.49,1.25,-0.2,-11294.0
2013-06-30,0.9194,1.183,0.9654,0.8684,2.75,0.09,2.43,1.25,0.01,-12788.0
2013-05-31,0.9649,1.1933,0.9948,0.9213,2.8,0.09,2.47,1.25,-0.03,-12788.0
2013-04-30,1.0368,1.2102,1.0484,0.9705,3.0,0.11,2.48,1.25,-0.03,-12788.0
2013-03-31,1.0457,1.2446,1.0616,0.9889,3.0,0.15,2.42,1.25,0.06,-13085.0
